股票代码,名称,上市日期,上市状态,终止/暂停上市日期
sh600741,华域汽车,1996-08-26,正常交易,
sh600742,富维股份,1996-08-26,正常交易,
sh600743,华远控股,1996-09-09,正常交易,
sh600744,华银电力,1996-09-05,正常交易,
sh600745,闻泰科技,1996-08-28,正常交易,
sh600746,江苏索普,1996-09-18,正常交易,
sh600748,上实发展,1996-09-25,正常交易,
sh600749,西藏旅游,1996-10-15,正常交易,
sh600750,江中药业,1996-09-23,正常交易,
sh600751,海航科技,1996-09-09,正常交易,
sh600753,*ST海钦,1996-09-27,正常交易,
sh600754,锦江酒店,1996-10-11,正常交易,
sh600755,厦门国贸,1996-10-03,正常交易,
